Gene1,Gene2,Score
BMI1,RAB38,145.0
BMI1,MCOLN2,142.0
BMI1,GP5,141.0
BMI1,JPT1,140.0
BMI1,EPDR1,139.0
BMI1,CHAMP1,135.0
BMI1,NPM1,134.0
BMI1,FAM110C,133.0
BMI1,NAP1L3,132.0
BMI1,RCOR1,130.0
BMI1,IFNGR1,130.0
BMI1,COL4A2,128.0
BMI1,COL4A1,128.0
BMI1,GK,124.0
BMI1,PDE1B,123.0
BMI1,MYCN,122.0
BMI1,EYA2,121.0
BMI1,VOPP1,116.0
BMI1,SLC11A2,115.0
BMI1,WDR7,114.0
BMI1,GCNT2,114.0
BMI1,GBP7,114.0
BMI1,PBX1,112.0
BMI1,JAM3,111.0
BMI1,FGD4,111.0
BMI1,SEMA3D,110.0
BMI1,FBXO30,110.0
BMI1,CARHSP1,110.0
BMI1,GJA1,108.0
BMI1,NDN,107.0
BMI1,PORCN,106.0
BMI1,SMU1,105.0
BMI1,SYK,104.0
BMI1,GTF3C3,104.0
BMI1,BTRC,103.0
BMI1,IL27RA,101.0
BMI1,ANK,101.0
CBFB,MSH6,2386.0
CBFB,COPG1,2085.0
CBFB,RETREG2,1703.0
CBFB,CLTC,1778.0
CBFB,PTPN22,2012.0
CBFB,EIF3G,1708.0
CBFB,GCLM,1533.0
CBFB,SLC2A3,1502.0
CBFB,ORC5,1604.0
CBFB,NFE2,2138.0
CBFB,ARID5A,1700.0
CBFB,CAMSAP2,1678.0
CBFB,SLC39A13,1904.0
CBFB,HEMGN,2379.0
CBFB,CARD6,2337.0
CBFB,CALU,1753.0
CBFB,LIMD2,2036.0
CBFB,TMEM229B,1785.0
CBFB,TIMM29,1667.0
CBFB,IDH1,1540.0
CBFB,OTUD6B,1505.0
CBFB,WDR5,1641.0
CBFB,DOCK10,2185.0
CBFB,NOP2,1401.0
CBFB,SSH2,2460.0
CBFB,PRDM4,1622.0
CBFB,NSUN2,1505.0
CBFB,CLPTM1L,1319.0
CBFB,HJURP,1422.0
CBFB,DNAJC11,1608.0
CBFB,LYSMD3,1223.0
CBFB,SEH1L,1380.0
CBFB,DDX21,1598.0
CBFB,SZT2,1405.0
CBFB,TES,1896.0
CBFB,DNAJC10,1166.0
CBFB,SNRNP200,1979.0
CBFB,NDOR1,1274.0
CBFB,MTMR4,1144.0
CBFB,ACSS2,1070.0
CBFB,PCYT1A,1583.0
CBFB,NUS1,1227.0
CBFB,F2R,1169.0
CBFB,UBOX5,1308.0
CBFB,GARS,1106.0
CBFB,NUF2,1801.0
CBFB,PSMD7,1259.0
CBFB,RANGAP1,1371.0
CBFB,ESYT2,1223.0
CBFB,ARL6IP6,1337.0
CBFB,ECT2,1159.0
CBFB,NFXL1,1319.0
CBFB,HSPE1,1611.0
CBFB,HSPD1,1611.0
CBFB,HSPA4L,1081.0
CBFB,RPRD1B,2128.0
CBFB,ADGRG1,1425.0
CBFB,ATG16L1,1624.0
CBFB,VPS26C,927.0
CBFB,PMPCA,1004.0
CBFB,IRF9,1298.0
CBFB,ERLIN2,1410.0
CBFB,PKM,1218.0
CBFB,ARMT1,1221.0
CBFB,RCOR1,1087.0
CBFB,UNK,1188.0
CBFB,MGAT1,978.0
CBFB,DCAF13,1211.0
CBFB,SPNS2,1482.0
CBFB,OSBPL8,1051.0
CBFB,NFAT5,1118.0
CBFB,HSPA4,1116.0
CBFB,PPAT,1126.0
CBFB,NUDCD3,1302.0
CBFB,HSD11B1,1824.0
CBFB,CTPS,1345.0
CBFB,PRKCH,1078.0
CBFB,MORC3,1068.0
CBFB,RBSN,1057.0
CBFB,PGLYRP2,1575.0
CBFB,ATAD2,1446.0
CBFB,SUPT7L,2335.0
CBFB,TMEM129,1328.0
CBFB,TACC3,1328.0
CBFB,DDX20,1368.0
CBFB,ZFAND5,958.0
CBFB,SPTY2D1,1300.0
CBFB,EIF1AD,1821.0
CBFB,TFR2,1464.0
CBFB,RHOT1,1180.0
CBFB,LY9,1556.0
CBFB,ATP2A3,1420.0
CBFB,MIS12,1022.0
CBFB,FAM76B,1047.0
CBFB,TCP1,1193.0
CBFB,GOSR2,1101.0
CBFB,MIS18BP1,1481.0
CBFB,EPRS,1114.0
CBFB,TMEM123,1062.0
CBFB,VDAC2,1006.0
CBFB,WARS,1191.0
CBFB,PFKM,937.0
CBFB,AP5M1,1224.0
CBFB,STK25,1091.0
CBFB,NCEH1,1122.0
CBFB,KIF2C,1359.0
CBFB,CSTF2,1106.0
CBFB,HAT1,1030.0
CBFB,CLPX,1189.0
CBFB,CRNKL1,1428.0
CBFB,RABGGTB,883.0
CBFB,GMFB,1137.0
CBFB,POLE3,1723.0
CBFB,ACAP1,1177.0
CBFB,EYA2,1293.0
CBFB,PWP2,1314.0
CBFB,PCNA,880.0
CBFB,INCENP,1145.0
CBFB,BIRC5,1024.0
CBFB,PXYLP1,1495.0
CBFB,DUS1L,1358.0
CBFB,LRRC59,1114.0
CBFB,RAD51AP1,1497.0
CBFB,REXO4,1500.0
CBFB,FIGNL1,981.0
CBFB,EIF2S1,1250.0
CBFB,THA1,1743.0
CBFB,PJA2,915.0
CBFB,POR,1404.0
CBFB,CLIC4,813.0
CBFB,TRMT2A,1469.0
CBFB,RANBP1,1469.0
CBFB,KCTD9,1357.0
CBFB,BIN2,829.0
CBFB,TOX,1455.0
CBFB,9430015G10RIK,1079.0
CBFB,COLGALT1,1178.0
CBFB,PLEC,753.0
CBFB,SLC39A9,1382.0
CBFB,GYPC,1019.0
CBFB,SMPD1,1145.0
CBFB,CMPK2,1170.0
CBFB,CALR,1084.0
CBFB,PSAP,974.0
CBFB,PHF5A,1148.0
CBFB,COX7A2,1193.0
CBFB,MED16,1263.0
CBFB,API5,1090.0
CBFB,METTL25,1266.0
CBFB,SLBP,901.0
CBFB,TBXA2R,1598.0
CBFB,FAR1,976.0
CBFB,RASSF5,1125.0
CBFB,MRPL20,1438.0
CBFB,CMAH,1528.0
CBFB,RANBP6,1000.0
CBFB,DDHD2,836.0
CBFB,1700017B05RIK,976.0
CBFB,INTS4,1114.0
CBFB,PIK3R2,822.0
CBFB,ARMC8,1471.0
CBFB,KLHDC8B,1492.0
CBFB,NUDT9,1013.0
CBFB,GALNT6,1729.0
CBFB,XRCC6,928.0
CBFB,TREML2,905.0
CBFB,SLC26A11,1210.0
CBFB,DYNLL1,1387.0
CBFB,UBA5,1483.0
CBFB,WDR36,1055.0
CBFB,ANAPC2,1000.0
CBFB,SERP1,1039.0
CBFB,DUSP2,1331.0
CBFB,GTF2H1,1221.0
CBFB,HDAC7,951.0
CBFB,SERPINB9,857.0
CBFB,HCFC1,773.0
CBFB,PTPRE,694.0
CBFB,DPH6,1064.0
CBFB,AP1S2,989.0
CBFB,TNPO1,1106.0
CBFB,RNF115,852.0
CBFB,DDOST,989.0
CBFB,CSGALNACT2,1052.0
CBFB,PNO1,1169.0
CBFB,CIPC,1035.0
CBFB,RASAL3,1088.0
CBFB,CENPE,1089.0
CBFB,DCP1A,1170.0
CBFB,SLC14A1,1092.0
CBFB,CDK17,1047.0
CBFB,ZFP74,1009.0
CBFB,PSMF1,1382.0
CBFB,NGLY1,923.0
CBFB,ZFP143,1213.0
CBFB,PAQR7,1478.0
CBFB,LCK,1404.0
CBFB,RPTOR,1042.0
CBFB,FEM1B,1103.0
CBFB,OASL1,586.0
CBFB,GBE1,1215.0
CBFB,C330018D20RIK,932.0
CBFB,DHX33,1248.0
CBFB,NDC80,1081.0
CBFB,CKS2,826.0
CBFB,PPM1G,827.0
CBFB,ICOS,1561.0
CBFB,PAFAH2,1099.0
CBFB,CUL2,1436.0
CBFB,CHMP7,1273.0
CBFB,POLD1,926.0
CBFB,NT5C3,1173.0
CBFB,CHORDC1,1069.0
CBFB,USP48,971.0
CBFB,PHETA2,1429.0
CBFB,GNL3,745.0
CBFB,NIF3L1,924.0
CBFB,UBAC1,918.0
CBFB,SCRN3,1474.0
CBFB,LONP2,947.0
CBFB,DGKA,1576.0
CBFB,EPS15,797.0
CBFB,RNF141,1137.0
CBFB,USP20,1116.0
CBFB,FLVCR1,1017.0
CBFB,RUVBL2,1197.0
CBFB,GYS1,1197.0
CBFB,TESPA1,1492.0
CBFB,CDC45,1004.0
CBFB,XPC,803.0
CBFB,MTMR6,1275.0
CBFB,ELF1,843.0
CBFB,CDCA5,1146.0
CBFB,USP32,797.0
CBFB,YPEL3,1030.0
CBFB,ZDHHC6,1362.0
CBFB,BTLA,1399.0
CBFB,PHTF2,883.0
CBFB,CDK1,945.0
CBFB,ABHD16A,917.0
CBFB,KAT7,851.0
CBFB,CCR7,1428.0
CBFB,FCHSD2,895.0
CBFB,PRKAB1,1011.0
CBFB,ACSS1,1109.0
CBFB,ZFP658,1138.0
CBFB,NAA35,940.0
CBFB,ATG16L2,1397.0
CBFB,DNPEP,1004.0
CBFB,A130010J15RIK,994.0
CBFB,ZSCAN12,731.0
CBFB,CACYBP,845.0
CBFB,TEX10,1118.0
CBFB,STXBP3,1020.0
CBFB,TAB1,1183.0
CBFB,PTPN12,680.0
CBFB,RGS18,1237.0
CBFB,NT5DC1,974.0
CBFB,HMBS,779.0
CBFB,1700066M21RIK,800.0
CBFB,COX6B1,1116.0
CBFB,ZBTB20,1021.0
CBFB,VARS,1099.0
CBFB,SHISA5,921.0
CBFB,VOPP1,918.0
CBFB,METAP1,811.0
CBFB,ZFP160,1335.0
CBFB,G2E3,729.0
CBFB,ZZZ3,935.0
CBFB,ATP7B,868.0
CBFB,ALG11,868.0
CBFB,TOMM70A,1535.0
CBFB,PSMD3,1242.0
CBFB,TCP11L2,1006.0
CBFB,LCP1,1162.0
CBFB,XAB2,1094.0
CBFB,TOX4,1217.0
CBFB,HDGF,949.0
CBFB,ENPP4,832.0
CBFB,CYB5R3,1127.0
CBFB,SUPV3L1,1213.0
CBFB,UBE2G2,1351.0
CBFB,MFSD8,1019.0
CBFB,GUCD1,955.0
CBFB,CRK,818.0
CBFB,SACM1L,797.0
CBFB,FGFR1OP,851.0
CBFB,NDUFS1,1577.0
CBFB,ELAC2,1091.0
CBFB,CNST,1083.0
CBFB,VPS33B,793.0
CBFB,CKAP5,972.0
CBFB,ZFP62,708.0
CBFB,PRPF39,993.0
CBFB,PDE4B,1064.0
CBFB,WDR75,1295.0
CBFB,MBTPS1,647.0
CBFB,CLCN4,820.0
CBFB,FNTA,788.0
CBFB,BCLAF3,849.0
CBFB,BZW1,1123.0
CBFB,GTF2E1,939.0
CBFB,TUBB5,880.0
CBFB,ZHX1,1799.0
CBFB,CCNG2,1453.0
CBFB,IFRD2,911.0
CBFB,GPR171,1237.0
CBFB,EZR,792.0
CBFB,PPCDC,846.0
CBFB,SLC27A1,1199.0
CBFB,DARS,989.0
CBFB,ZFP24,754.0
CBFB,TBCD,1382.0
CBFB,ZNFX1,931.0
CBFB,GYPA,1957.0
CBFB,H2AFY,1046.0
CBFB,PHAX,1001.0
CBFB,MCM7,1209.0
CBFB,IFT140,768.0
CBFB,PIGO,1097.0
CBFB,CAMKK1,1221.0
CBFB,ST8SIA4,866.0
CBFB,PDE12,1066.0
CBFB,TMEM33,1094.0
CBFB,TOP3B,921.0
CBFB,ATL2,754.0
CBFB,ISG20,638.0
CBFB,RPN2,1315.0
CBFB,KIF11,1030.0
CBFB,CSTF1,1297.0
CBFB,AURKA,1297.0
CBFB,CNOT7,601.0
CBFB,PTDSS1,1004.0
CBFB,RPS27L,882.0
CBFB,CHP1,862.0
CBFB,ATG4B,836.0
CBFB,AHCYL1,917.0
CBFB,WDSUB1,849.0
CBFB,ZFP397,1386.0
CBFB,TCEA2,639.0
CBFB,UBR1,906.0
CBFB,RAD21,630.0
CBFB,LANCL2,1086.0
CBFB,IPO9,675.0
CBFB,ATP8B4,719.0
CBFB,HAUS2,1155.0
CBFB,TNFSF14,976.0
CBFB,FBXL4,1215.0
CBFB,PRMT5,1142.0
CBFB,ADK,975.0
CBFB,MCM4,1102.0
CBFB,GPR65,1112.0
CBFB,ITGAL,844.0
CBFB,TUBB4B,749.0
CBFB,AP5Z1,883.0
CBFB,CEP70,676.0
CBFB,HSP90B1,691.0
CBFB,SRSF1,850.0
CBFB,MGAT5,731.0
CBFB,NOL9,885.0
CBFB,SRM,867.0
CBFB,BAP1,827.0
CBFB,DEK,707.0
CBFB,ARHGAP15,1121.0
CBFB,P4HB,710.0
CBFB,STAT3,955.0
CBFB,EIF1A,808.0
CBFB,PRMT7,731.0
CBFB,ZBTB40,968.0
CBFB,RLF,840.0
CBFB,HIST1H4D,593.0
CBFB,4931406C07RIK,777.0
CBFB,CS,728.0
CBFB,NOLC1,1293.0
CBFB,HARS2,1564.0
CBFB,HARS,1564.0
CBFB,RNF139,678.0
CBFB,TRIM12A,1202.0
CBFB,FASTKD2,1275.0
CBFB,PPM1L,1116.0
CBFB,THADA,1009.0
CBFB,PSME3,1825.0
CBFB,COA5,889.0
CBFB,THUMPD3,1543.0
CBFB,MOGS,538.0
CBFB,NARS,1046.0
CBFB,CDCA3,1062.0
CBFB,DPY19L4,834.0
CBFB,CTR9,1045.0
CBFB,KIF3B,869.0
CBFB,CNOT10,1142.0
CBFB,SLC31A1,672.0
CBFB,MARS,976.0
CBFB,TFRC,673.0
CBFB,UROS,1198.0
CBFB,HASPIN,936.0
CBFB,R3HCC1L,1021.0
CBFB,LAPTM5,918.0
CBFB,PTCD3,1126.0
CBFB,FAM102B,935.0
CBFB,MEX3C,547.0
CBFB,SLA2,1062.0
CBFB,STIP1,851.0
CBFB,NUDCD1,861.0
CBFB,PSMD1,1077.0
CBFB,MGST3,698.0
CBFB,RFC4,730.0
CBFB,TCF12,765.0
CBFB,CLCN3,1031.0
CBFB,FBXO34,811.0
CBFB,GFI1,913.0
CBFB,FAM45A,753.0
CBFB,CUL3,717.0
CBFB,CDCA8,1054.0
CBFB,NCAPH,673.0
CBFB,STK17B,642.0
CBFB,EFTUD2,887.0
CBFB,GBP4,1104.0
CBFB,ZFP422,954.0
CBFB,MIOS,607.0
CBFB,BLZF1,1753.0
CBFB,D10WSU102E,933.0
CBFB,CEP55,661.0
CBFB,ARHGDIB,741.0
CBFB,UBR7,901.0
CBFB,CDCA4,766.0
CBFB,NAA30,647.0
CBFB,DHRS3,698.0
CBFB,PKN3,733.0
CBFB,PPOX,719.0
CBFB,ELP3,675.0
CBFB,FAM168B,568.0
CBFB,MDN1,908.0
CBFB,ELOVL5,696.0
CBFB,SNUPN,812.0
CBFB,MEMO1,711.0
CBFB,RNF145,778.0
CBFB,HIST1H1C,722.0
CBFB,MPZL1,755.0
CBFB,COPS8,788.0
CBFB,ABTB1,867.0
CBFB,VKORC1L1,750.0
CBFB,GALK2,942.0
CBFB,DUSP1,581.0
CBFB,ADAMTS10,728.0
CBFB,PBLD2,827.0
CBFB,TBL3,837.0
CBFB,OTULINL,847.0
CBFB,SPTBN1,811.0
CBFB,NDST2,616.0
CBFB,ITSN1,727.0
CBFB,GLRX5,709.0
CBFB,ZYX,705.0
CBFB,COPG2,799.0
CBFB,PUSL1,847.0
CBFB,CENPO,844.0
CBFB,VPS33A,1053.0
CBFB,PACSIN2,596.0
CBFB,SATB1,904.0
CBFB,INTS11,645.0
CBFB,CPTP,645.0
CBFB,RESF1,724.0
CBFB,NDC1,1136.0
CBFB,HACD3,1012.0
CBFB,CRBN,679.0
CBFB,ABL2,794.0
CBFB,UAP1,808.0
CBFB,TOMM22,946.0
CBFB,VIM,588.0
CBFB,SHMT1,1026.0
CBFB,FAM136A,801.0
CBFB,EIF2B1,863.0
CBFB,SPNS3,570.0
CBFB,NOC4L,692.0
CBFB,MIEF1,1212.0
CBFB,MTREX,905.0
CBFB,LGALS9,785.0
CBFB,ECE1,778.0
CBFB,DUT,909.0
CBFB,CCT8,763.0
CBFB,DOK2,844.0
CBFB,TMEM43,727.0
CBFB,ZFP655,641.0
CBFB,PRDM15,560.0
CBFB,PRODH,683.0
CBFB,CCNE2,1470.0
CBFB,PLD3,791.0
CBFB,NECAP2,972.0
CBFB,JPT1,711.0
CBFB,PLIN3,553.0
CBFB,CNR2,678.0
CBFB,CTC1,607.0
CBFB,SLC9A9,962.0
CBFB,FARSB,1049.0
CBFB,SF3B3,982.0
CBFB,TOR1AIP2,636.0
CBFB,GBP3,886.0
CBFB,USP22,662.0
CBFB,NFKBIA,555.0
CBFB,USF3,711.0
CBFB,CPOX,848.0
CBFB,PDIA4,658.0
CBFB,NMT2,704.0
CBFB,KDM8,1034.0
CBFB,DENND1C,863.0
CBFB,NAPG,856.0
CBFB,CHST10,1015.0
CBFB,TSPAN13,669.0
CBFB,LPCAT3,749.0
CBFB,CD99L2,729.0
CBFB,SARAF,805.0
CBFB,ILVBL,559.0
CBFB,KPNA3,679.0
CBFB,HSPA9,652.0
CBFB,CBX5,703.0
CBFB,NDUFV1,847.0
CBFB,RRM1,796.0
CBFB,SDHAF2,705.0
CBFB,DUSP5,783.0
CBFB,KCTD12,652.0
CBFB,CUL4A,770.0
CBFB,CCT6A,800.0
CBFB,ZFP672,495.0
CBFB,MINPP1,642.0
CBFB,TRIM39,716.0
CBFB,ICE1,970.0
CBFB,IPO13,1027.0
CBFB,PDIA3,778.0
CBFB,HERC4,512.0
CBFB,NDUFB9,731.0
CBFB,USP37,1327.0
CBFB,BCL2,678.0
CBFB,SLC35A4,1077.0
CBFB,ABCB8,572.0
CBFB,H2AFX,696.0
CBFB,FBXW11,777.0
CBFB,NCAPD2,668.0
CBFB,ASAH1,670.0
CBFB,TTF1,949.0
CBFB,EAF1,843.0
CBFB,NUBP2,933.0
CBFB,RNF38,711.0
CBFB,EIF5A,474.0
CBFB,D1ERTD622E,765.0
CBFB,POLR3F,1050.0
CBFB,FOXRED1,743.0
CBFB,DHX35,884.0
CBFB,SP4,613.0
CBFB,CKS1B,981.0
CBFB,SCFD1,1047.0
CBFB,GPRASP1,978.0
CBFB,P2RY14,801.0
CBFB,DEF8,914.0
CBFB,ALKBH8,904.0
CBFB,PSMD9,841.0
CBFB,NELFB,597.0
CBFB,ASPH,634.0
CBFB,SETD2,701.0
CBFB,RARS,794.0
CBFB,HDAC2,960.0
CBFB,UBASH3A,815.0
CBFB,BYSL,806.0
CBFB,PPP1CB,509.0
CBFB,EIF3B,872.0
CBFB,TMEM68,932.0
CBFB,INTS6,520.0
CBFB,TIMM50,745.0
CBFB,ARPP21,970.0
CBFB,ATRN,815.0
CBFB,ELMOD2,749.0
CBFB,TPM4,1390.0
CBFB,ZDHHC13,697.0
CBFB,TUBGCP2,643.0
CBFB,EDRF1,775.0
CBFB,ABI1,589.0
CBFB,NDRG3,877.0
CBFB,CAPG,961.0
CBFB,PSTPIP1,932.0
CBFB,DDX31,699.0
CBFB,TSPAN3,798.0
CBFB,PANX1,729.0
CBFB,TMX4,618.0
CBFB,NUP155,537.0
CBFB,SGO1,784.0
CBFB,MARCH5,727.0
CBFB,PBK,761.0
CBFB,TMEM38A,863.0
CBFB,SMC2,880.0
CBFB,PSMD6,766.0
CBFB,WDR73,647.0
CBFB,SFT2D3,901.0
CBFB,2310057M21RIK,743.0
CBFB,CPT2,876.0
CBFB,MXD3,1057.0
CBFB,AHCTF1,573.0
CBFB,CAST,619.0
CBFB,SH3BP5,692.0
CBFB,NSMAF,744.0
CBFB,SLC35E1,801.0
CBFB,PHB2,761.0
CBFB,TMEM184C,880.0
CBFB,TXNDC5,655.0
CBFB,P2RX1,1010.0
CBFB,FASTKD3,700.0
CBFB,CYP20A1,636.0
CBFB,MED22,515.0
CBFB,TOMM40,633.0
CBFB,E2F8,644.0
CBFB,TPX2,841.0
CBFB,SMIM13,687.0
CBFB,NRF1,606.0
CBFB,DCK,574.0
CBFB,PSMC4,772.0
CBFB,FOS,706.0
CBFB,TSPAN14,658.0
CBFB,CST7,831.0
CBFB,CTSL,683.0
CBFB,RRAD,919.0
CBFB,PICALM,606.0
CBFB,LAX1,763.0
CBFB,ABHD17B,1123.0
CBFB,ZFP943,736.0
CBFB,GDAP2,821.0
CBFB,ZFR,670.0
CBFB,POLR1B,800.0
CBFB,ABCB4,638.0
CBFB,SHCBP1,708.0
CBFB,CANX,591.0
CBFB,CIP2A,795.0
CBFB,ATP5G3,798.0
CBFB,ZFP944,660.0
CBFB,RAB11FIP3,731.0
CBFB,PPP6C,852.0
CBFB,PARP3,886.0
CBFB,ZFP445,864.0
CBFB,MFSD1,1130.0
CBFB,NLRC3,907.0
CBFB,PACS1,665.0
CBFB,HACE1,755.0
CBFB,ADAT1,616.0
CBFB,UBXN2B,635.0
CBFB,RPN1,504.0
CBFB,ZFP35,688.0
CBFB,PRCP,589.0
CBFB,DDIAS,589.0
CBFB,RORC,790.0
CBFB,FKBP1A,614.0
CBFB,CTSE,556.0
CBFB,PSMC2,751.0
CBFB,SLC43A2,490.0
CBFB,ITIH5,933.0
CBFB,TRMT6,1107.0
CBFB,CD69,726.0
CBFB,FAM126A,533.0
CBFB,FAAP100,821.0
CBFB,RBM33,738.0
CBFB,GAS2L3,504.0
CBFB,VPS35,654.0
CBFB,ORC6,654.0
CBFB,CISH,576.0
CBFB,MFN2,925.0
CBFB,MDH2,710.0
CBFB,MAD2L1,658.0
CBFB,DPP8,923.0
CBFB,TGFBR1,605.0
CBFB,SFT2D2,626.0
CBFB,DTL,692.0
CBFB,NCAPG2,722.0
CBFB,SLC19A2,488.0
CBFB,NFE2L2,772.0
CBFB,GPR19,611.0
CBFB,SELPLG,484.0
CBFB,NUP93,807.0
CBFB,ANXA5,943.0
CBFB,GTF2F1,860.0
CBFB,GPR107,914.0
CBFB,ATP13A1,690.0
CBFB,MAU2,790.0
CBFB,HERPUD1,601.0
CBFB,LARS2,653.0
CBFB,ATP1B3,703.0
CBFB,MAPK1,815.0
CBFB,RNF19A,456.0
CBFB,WDR4,1221.0
CBFB,RMND5A,552.0
CBFB,SEPSECS,664.0
CBFB,PLCL1,887.0
CBFB,LAP3,770.0
CBFB,VAMP3,676.0
CBFB,OASL2,859.0
CBFB,NCL,988.0
CBFB,NDUFA10,693.0
CBFB,SMIM5,1367.0
CBFB,MYLK3,725.0
CBFB,NWD1,741.0
CBFB,RGCC,597.0
CBFB,SERPINB6A,804.0
CBFB,LRRC8C,581.0
CBFB,SEC24D,891.0
CBFB,PLEKHA2,765.0
CBFB,ABCE1,827.0
CBFB,IL17RE,734.0
CBFB,STK10,453.0
CBFB,DCAF11,689.0
CBFB,SAMD9L,666.0
CBFB,RNF125,1111.0
CBFB,OPTN,829.0
CBFB,DOP1B,416.0
CBFB,SLC20A1,656.0
CBFB,NPRL3,749.0
CBFB,FZR1,610.0
CBFB,RPA2,694.0
CBFB,CRIP2,970.0
CBFB,SNAP47,536.0
CBFB,JMJD4,536.0
CBFB,AAR2,842.0
CBFB,H2-M3,702.0
CBFB,GTF3C3,651.0
CBFB,PIK3R1,783.0
CBFB,NUP85,743.0
CBFB,PCCA,542.0
CBFB,4833439L19RIK,519.0
CBFB,NT5C2,593.0
CBFB,IRAK2,604.0
CBFB,PLA2G15,604.0
CBFB,CENPK,771.0
CBFB,RAP1B,526.0
CBFB,GPR18,856.0
CBFB,ZFP367,637.0
CBFB,GOLT1B,765.0
CBFB,2210016L21RIK,784.0
CBFB,ATP5F1,564.0
CBFB,HSPH1,907.0
CBFB,ME2,801.0
CBFB,SLC25A37,502.0
CBFB,GCDH,617.0
CBFB,DRAM2,494.0
CBFB,CEPT1,494.0
CBFB,TMEM186,686.0
CBFB,LMBRD1,752.0
CBFB,DNAJC9,528.0
CBFB,KNL1,728.0
CBFB,MCM6,691.0
CBFB,RFESD,691.0
CBFB,ABCD1,458.0
CBFB,SMAD2,645.0
CBFB,SLC35B4,511.0
CBFB,PIK3C3,696.0
CBFB,EXOC3,680.0
CBFB,AP1B1,747.0
CBFB,KLF1,827.0
CBFB,TMX1,488.0
CBFB,ARL8B,754.0
CBFB,ZFP322A,694.0
CBFB,HOOK3,475.0
CBFB,RASSF2,639.0
CBFB,WDR43,717.0
CBFB,SPPL2A,602.0
CBFB,NARFL,486.0
CBFB,RNF4,666.0
CBFB,APPL2,627.0
CBFB,SLC18A2,369.0
CBFB,1110008L16RIK,786.0
CBFB,FPGS,597.0
CBFB,CNIH1,557.0
CBFB,HSPA8,596.0
CBFB,NUP107,709.0
CBFB,MYNN,673.0
CBFB,CACFD1,649.0
CBFB,ACAA2,596.0
CBFB,RCC1,926.0
CBFB,WDHD1,676.0
CBFB,TRIM35,696.0
CBFB,AURKB,462.0
CBFB,TUBA1B,482.0
CBFB,FEM1A,738.0
CBFB,TM9SF2,458.0
CBFB,FDFT1,643.0
CBFB,LDAH,752.0
CBFB,RPGRIP1L,714.0
CBFB,LONP1,694.0
CBFB,PQLC1,628.0
CBFB,F13A1,894.0
CBFB,CENPF,940.0
CBFB,TOPORS,734.0
CBFB,XRCC3,593.0
CBFB,STEAP3,584.0
