,Gene1,Gene2,weights_combined
13754,GATA1,CLEC4D,705445.4920673195
13832,GATA1,CTSG,705128.2569346207
53912,SPI1,LY6C2,704954.3346523955
40158,MYC,NXPE2,704028.4027613689
40253,MYC,PHETA2,700182.0586765866
40518,MYC,RPL41,699949.5727818847
35794,JUN,WFDC17,698860.0427488913
40586,MYC,SERPINA3G,697494.7547493087
55116,SPI1,WFDC17,696241.3535588755
38923,MYC,ATPIF1,696177.5818169569
3300,E2F4,NXPE2,694365.6367447719
24060,HCFC1,IFI27L2A,691151.6134433564
53115,SPI1,CES2G,690038.2349662845
23395,HCFC1,BC035044,684646.7143472469
45626,NRF1,MS4A4B,684508.4694816655
13980,GATA1,ERMAP,682299.6356270172
34625,JUN,LY6A,679762.428187065
14111,GATA1,GGT5,676527.9414129822
39712,MYC,IFI47,675750.8097529905
34720,JUN,MNDAL,674511.7695540211
52991,SPI1,C1QTNF12,671505.1018731247
54615,SPI1,SERPINA3G,671078.5461361737
38917,MYC,ATP5G3,670367.7815664853
34738,JUN,MS4A4C,666109.3720448172
13756,GATA1,CLEC5A,666012.8871447239
14469,GATA1,MFSD2B,664548.6425316083
14487,GATA1,MMRN1,657168.1016577381
25427,HDAC2,ADGRD1,657103.7003502462
13668,GATA1,CCR9,656818.5474514455
14714,GATA1,PF4,656402.4493049269
53911,SPI1,LY6A,655307.9755907024
40574,MYC,SELENOP,653012.2064253988
15336,GATA1,TRIM10,651740.482495013
39540,MYC,GM1966,650603.6737395128
35916,MEIS1,ADGRG3,646408.6140562035
40492,MYC,RIPOR2,646338.1665894537
14139,GATA1,GP5,646301.6667981927
14097,GATA1,GBP5,646036.5233418521
9039,ESR1,GSTT1,645786.1026533787
8706,ESR1,CYP2J9,645481.8026234271
40664,MYC,SLC34A2,644593.9398405016
35303,JUN,SERPINA3F,643510.0517952917
35564,JUN,TGTP2,643274.794797826
13527,GATA1,AQP9,642761.8150471437
13755,GATA1,CLEC4E,639916.0690019567
15109,GATA1,SLC7A4,638908.6191575141
39631,MYC,HBA-A2,638822.3053908253
53039,SPI1,CCL9,637738.5982378358
39947,MYC,MESD,637006.3734251473
14837,GATA1,PRSS50,634754.7050081774
39118,MYC,CLCA3A1,632595.549351384
13619,GATA1,C330018D20RIK,630281.4911170182
14489,GATA1,MNS1,629234.5357710695
65070,BTAF1,C1QTNF12,629127.3384430207
54010,SPI1,MNDAL,627527.6714684805
14357,GATA1,KLRD1,627526.4290571983
17880,GFI1,6720489N17RIK,625581.9480479346
40306,MYC,PLPPR3,624939.1904127455
38916,MYC,ATP5G1,624302.952248976
54032,SPI1,MS4A4C,623035.7764202004
14986,GATA1,SAMD14,623028.7574887248
32592,IRF1,MS4A4C,622966.7694811036
31082,IKZF1,SERPINB6B,622100.0878135668
13428,GATA1,2610301B20RIK,622064.4659157769
14955,GATA1,ROBO4,620483.0150308558
9300,ESR1,LY6C2,618059.1025832962
13969,GATA1,EPDR1,615761.5715965636
38940,MYC,BC035044,615352.0864287675
14047,GATA1,FGF3,614412.1907179783
36223,MEIS1,CTLA2A,614407.1203139626
34783,JUN,NAIP5,614165.7063670227
40481,MYC,RGS18,612908.283673207
15966,GATA2,CTLA2A,611804.7203505401
14037,GATA1,FCRL1,611798.0382308677
14125,GATA1,GNA14,610754.7753589291
14655,GATA1,OLR1,609372.6783665334
38915,MYC,ATP5F1,609299.5624151962
32236,IRF1,GM12250,608207.4016869148
18869,GFI1,LY6C2,607376.4728881986
13818,GATA1,CST7,606319.3994003682
53960,SPI1,MCPT8,606205.9533060063
27217,HDAC2,SERPINB6B,605667.5638556698
15080,GATA1,SLC28A2,602495.3462626035
15101,GATA1,SLC41A3,601904.2724928308
66065,BTAF1,PHETA2,600943.9941674612
38993,MYC,CAR1,600922.5501610446
13830,GATA1,CTSE,600129.3836146044
13968,GATA1,EPB42,599321.9229270334
53567,SPI1,GM4951,599260.6102533073
54614,SPI1,SERPINA3F,598297.534205743
18729,GFI1,IFITM6,597422.8160920795
39795,MYC,JPT1,597348.7282662705
19220,GFI1,PIRB,595700.9696702706
15150,GATA1,SPIRE1,593361.2772741356
53426,SPI1,F830016B08RIK,593008.6023337062
33795,JUN,CCL9,592913.8271788245
15394,GATA1,UBASH3A,588962.7069436114
53121,SPI1,CHIL5,587310.54398827
15244,GATA1,TEK,587276.4374416283
36477,MEIS1,GM1966,586109.815951013
8984,ESR1,GM12185,586090.9406776224
13666,GATA1,CCR2,585559.913475175
13424,GATA1,1700066M21RIK,584202.7109043316
33975,JUN,CTLA2B,583631.4737795213
15021,GATA1,SERPINA3N,582525.255695147
40789,MYC,SULT1A1,582095.4293352019
14685,GATA1,PAQR9,581237.0587138693
23709,HCFC1,DRC7,579590.4488712052
8986,ESR1,GM4951,578943.420044495
15043,GATA1,SH3TC2,576618.4883995799
39038,MYC,CD27,575978.3494433523
39887,MYC,LY6A,575945.2506542433
23916,HCFC1,GM12250,575887.0205317339
33893,JUN,CLCA3A1,574256.6586529837
39539,MYC,GM12250,574042.9440885065
29459,IKZF1,ADGRG1,573835.6647764527
40421,MYC,QARS,572399.4435745709
13771,GATA1,CNR2,571186.5812025205
25428,HDAC2,ADGRG1,569990.4830724299
14347,GATA1,KLF1,568440.9289958233
19828,GFI1,TREM3,568293.9885199022
13640,GATA1,CASP12,567519.7559903486
14282,GATA1,IL31RA,567381.0698428497
54079,SPI1,NAIP5,566798.5340640008
15440,GATA1,VKORC1L1,566292.0282339897
14418,GATA1,MAGEE1,566222.3079720349
33050,IRF1,SERPINA3F,565828.9179630141
14134,GATA1,GOLM1,564975.1649491066
32133,IRF1,F830016B08RIK,564037.8361435487
13961,GATA1,EMILIN2,563487.0582190007
56150,STAT3,IFI27L2A,563233.2908770406
40888,MYC,TMEM176B,560658.9058921282
15019,GATA1,SEPT8,560474.0391307524
33794,JUN,CCL6,560347.7495120877
39994,MYC,MPO,560189.1149190303
9144,ESR1,IFITM6,560024.3034273785
14499,GATA1,MPO,559754.641963122
53656,SPI1,HBA-A2,559132.9109164455
14197,GATA1,HDC,557201.3160371247
8511,ESR1,CCL9,555961.5093231079
53227,SPI1,CTLA2B,555545.832538955
15308,GATA1,TNFAIP2,555261.6951732204
14248,GATA1,IARS2,554982.6553093146
40287,MYC,PLAC8,553768.108706066
13752,GATA1,CLEC14A,553338.3132541563
34984,JUN,PHETA2,551454.9028410322
34201,JUN,FCGR3,550910.1000610866
33457,IRF1,WFDC17,550267.4608721451
38745,MYC,2210016L21RIK,549788.3103035961
15317,GATA1,TNS2,549360.4070326361
53750,SPI1,IIGP1,549299.7962054735
13971,GATA1,EPOR,548140.818600708
301,CBFB,CES2G,542896.9130918372
13854,GATA1,D1ERTD622E,542872.0552284621
14215,GATA1,HK3,541696.2603323746
53462,SPI1,FCGR3,540471.3644469787
38753,MYC,9530068E07RIK,540359.7627589662
13753,GATA1,CLEC2I,539470.9293289335
15296,GATA1,TMEM56,538914.5568740517
13681,GATA1,CD48,538668.0743078698
14656,GATA1,OPTN,538358.462347321
17603,GATA2,TMEM273,536566.1996795583
37282,MEIS1,SERPINA3G,536033.3624874838
14261,GATA1,IFIT1,535392.9689729451
31999,IRF1,CYP2J9,533969.2980108868
40851,MYC,TGTP1,533942.7284006949
13758,GATA1,CLIP3,532099.3218599266
14495,GATA1,MPEG1,531677.3872222309
13855,GATA1,D230025D16RIK,531562.1264474845
52786,SPI1,ABCG3,531526.1226380508
57213,STAT3,SULT1A1,530559.6393884484
18637,GFI1,GUCY1A1,529980.6710975312
33577,JUN,ADGRG1,529165.4587911181
35443,JUN,SP100,529161.9343417179
10283,ESR1,TREM3,529138.3263518921
57019,STAT3,SERPINB6B,528416.1146618183
13958,GATA1,EMCN,526845.963648067
13512,GATA1,ANXA9,526504.2708380539
40951,MYC,TRIM30A,526428.3500278186
14920,GATA1,REEP6,526365.4258744685
15268,GATA1,TLK1,526344.6209671425
39409,MYC,FAM107B,526259.7315565814
13423,GATA1,1700017B05RIK,522335.2294564821
33783,JUN,CAVIN2,521642.4114072727
14893,GATA1,RAG2,521297.7633716992
15068,GATA1,SLC22A3,520909.8153765054
15576,GATA2,ADGRG1,520814.4953525652
17558,GATA2,TGTP2,520754.5827881253
53655,SPI1,HBA-A1,520727.60150444333
14330,GATA1,KCNG1,520493.9951581383
15057,GATA1,SLC14A1,520383.81649815844
14073,GATA1,FTSJ1,519151.3639632273
39172,MYC,COX7B,518668.03441234626
53562,SPI1,GM12185,517699.7160450273
15369,GATA1,TUBA8,516998.65161531884
35780,JUN,VWF,516751.9074473154
16452,GATA2,IFI27L2A,515625.549980288
54020,SPI1,MPL,514253.5768098506
34371,JUN,HACD4,513642.1315468268
13853,GATA1,D10WSU102E,512484.3837658103
14704,GATA1,PDGFD,511814.2989930249
17895,GFI1,ABCG3,511653.5398831886
13437,GATA1,ABCB4,511052.2994102023
14165,GATA1,GSTM5,510292.5232525901
13566,GATA1,ATP11C,510120.84306312964
13433,GATA1,9530068E07RIK,509305.3621631925
15035,GATA1,SGMS2,508691.57769305614
39796,MYC,JPT2,507736.32521960314
14228,GATA1,HPN,506056.7791147062
53038,SPI1,CCL6,505237.3071107384
13434,GATA1,A130010J15RIK,505198.13994327426
14772,GATA1,PLXNA1,504648.12013185065
13731,GATA1,CHIC1,504443.2870843422
13477,GATA1,AI597479,504065.42391063843
30413,IKZF1,LGALS9,503759.43948189163
36031,MEIS1,BC035044,503341.79190681066
25836,HDAC2,CTLA2A,503130.36659952125
13569,GATA1,ATP1B2,502513.47311377665
18584,GFI1,GM973,501873.41032143007
14358,GATA1,KMO,501575.3464910728
15426,GATA1,USP46,501496.8516403412
26489,HDAC2,LGALS9,501249.4879842979
39185,MYC,CRIP1,501049.4695325151
35597,JUN,TMEM176A,500921.1270623756
13580,GATA1,B230219D22RIK,500578.735844531
13905,GATA1,DPY19L1,500416.4258041715
35212,JUN,RIPOR2,499925.24982872163
17302,GATA2,SERPINA3G,499860.36214622355
14742,GATA1,PITRM1,499274.2602143914
18115,GFI1,CAVIN2,499116.4963855271
38948,MYC,BIN2,497579.49839844945
14776,GATA1,PNCK,497405.3125089607
29816,IKZF1,CTLA2A,497164.1284201004
8988,ESR1,GM973,496147.5148539035
13489,GATA1,ALKBH8,495832.0009484705
14520,GATA1,MUC13,494919.60253177263
13988,GATA1,EVI2A,494823.51879946585
35660,JUN,TRIM30D,494520.01104776445
16978,GATA2,PHETA2,494343.3605028412
34271,JUN,GBP8,493070.03053669905
14313,GATA1,ITGAM,491908.0921963457
35598,JUN,TMEM176B,491520.81474720815
13921,GATA1,E2F8,491421.0429632025
8278,ESR1,ABCG3,490991.94570724556
40359,MYC,PRELID3B,490801.18413729535
13499,GATA1,ANKLE1,490656.0258747371
14752,GATA1,PLAC8,490616.36155714444
13653,GATA1,CCDC186,490603.73567827104
13998,GATA1,F13A1,490381.7107894036
14404,GATA1,LRRC8C,490111.0484740585
13903,GATA1,DPP7,489703.2484680576
9719,ESR1,PPFIA4,488833.80325029924
26882,HDAC2,PHETA2,488807.6161995004
8501,ESR1,CAVIN2,488619.65884705255
13862,GATA1,DCAF4,488271.16411244957
27480,HDAC2,TGTP2,487728.5494561813
14701,GATA1,PDE4D,487667.74239195464
39170,MYC,COX6B1,487609.7194543086
13426,GATA1,2210016L21RIK,487458.7801261983
15225,GATA1,TBC1D2B,487363.68899443187
30270,IKZF1,IFI27,486705.0399051389
14160,GATA1,GSKIP,486562.06479803816
18582,GFI1,GM3604,485838.93289485417
32238,IRF1,GM4951,485634.36318633216
31830,IRF1,CCL6,485372.8883590721
39748,MYC,INKA1,485038.2348098811
15158,GATA1,SPTA1,484165.9667976337
54912,SPI1,TMEM176A,483807.42070538603
53623,SPI1,GSTT1,483443.1054026224
14033,GATA1,FCGR2B,482872.84651767585
34299,JUN,GM973,482711.398401799
1605,CBFB,SERPINB6B,481648.0006398634
18345,GFI1,DEPP1,480834.61688531726
33740,JUN,BTNL9,480494.5747985731
15485,GATA1,ZDHHC13,480263.06147294294
26340,HDAC2,IFI27,479912.3465985152
14144,GATA1,GPR146,479873.36650079815
31314,IKZF1,TGTP2,479534.61019286566
35342,JUN,SIGLECG,479172.8512039631
13608,GATA1,BTLA,479099.8924557289
14129,GATA1,GNG12,479005.8733325461
39709,MYC,IFI27L2A,478881.4363711007
33814,JUN,CD24A,478534.3200977799
16375,GATA2,HBA-A1,478485.6113607991
15183,GATA1,STEAP3,478170.7786459315
14862,GATA1,PTGR1,477969.8762965629
39364,MYC,ENG,477961.8196144954
40967,MYC,TSPAN13,477247.94493099174
25669,HDAC2,CD24A,476413.2153054954
29673,IKZF1,CD24A,476206.15673345845
13996,GATA1,F10,475780.0009844234
14259,GATA1,IFI30,475706.98528867454
13484,GATA1,ALDH1A1,474872.36705031927
15217,GATA1,TANGO2,474676.82474386855
25751,HDAC2,CLCA3A1,474275.0503137511
15468,GATA1,XK,473619.030200019
40236,MYC,PDZK1IP1,473405.4138267148
15110,GATA1,SLC9A9,473114.7494214952
29564,IKZF1,ATP5B,473083.5827597977
13804,GATA1,CRIP1,472985.98927939986
14351,GATA1,KLHL12,472595.1825946497
15077,GATA1,SLC26A1,472286.086786382
14570,GATA1,NDNF,471956.66251904785
55985,STAT3,GM12250,471938.40903312474
53211,SPI1,CRYZL2,471877.7452222198
33260,IRF1,TGTP1,471745.1653596707
25545,HDAC2,ATP5B,471538.5984942164
15153,GATA1,SPO11,471499.15307798557
15456,GATA1,WDR55,471274.1900915187
54650,SPI1,SIGLECG,470937.14758419455
8454,ESR1,BPIFC,470815.7669356383
15477,GATA1,YIPF6,470181.97216092946
15006,GATA1,SDSL,470081.5606902668
15120,GATA1,SMIM13,470062.62187195674
15156,GATA1,SPPL2B,469458.1281428783
13750,GATA1,CLDN15,469313.3672800723
33537,JUN,5430427O19RIK,468907.45176960365
15470,GATA1,XPNPEP1,468424.6324602567
14200,GATA1,HEBP1,468303.53519433294
40472,MYC,RETREG2,467984.9442899695
15408,GATA1,UNC119B,467431.9525118547
14091,GATA1,GATM,467430.40405501175
15386,GATA1,UAP1,467343.33313561144
26173,HDAC2,GM1966,467309.2273888306
15357,GATA1,TSPAN33,466951.93089053716
13815,GATA1,CSGALNACT2,466847.58872173465
14277,GATA1,IL18RAP,466767.06896590075
54978,SPI1,TRIM30D,466184.20197848364
53647,SPI1,HACD4,466002.2385250244
40470,MYC,RESF1,465972.8027024533
14928,GATA1,RGS18,465415.90140634275
15403,GATA1,UBXN11,464766.7406529481
14635,GATA1,NUDT12,464470.9853959428
24059,HCFC1,IFI27,463909.1170811486
34898,JUN,OASL2,463896.78611290705
13427,GATA1,2310057M21RIK,463812.93094170664
54284,SPI1,PHETA2,463752.3099434714
39845,MYC,LARS2,463558.0739232461
14275,GATA1,IL17RE,463542.38773842633
40887,MYC,TMEM176A,463456.5533172909
16063,GATA2,DRC7,463406.04714102583
54754,SPI1,SP100,463333.5221234236
13550,GATA1,ART4,463053.393008224
33693,JUN,ATP5B,462939.6227531339
13432,GATA1,9430015G10RIK,462536.0099025674
29588,IKZF1,BC035044,461746.80927849317
15070,GATA1,SLC25A21,461576.56222025666
36731,MEIS1,LY6A,460851.2744083898
13792,GATA1,COX6A2,460802.65143094974
16713,GATA2,MMRN1,459160.9048627813
15159,GATA1,SPTB,457615.96695216023
15048,GATA1,SHROOM4,457350.4661596251
15321,GATA1,TOMM70A,457339.22992150823
52983,SPI1,BTNL9,457176.3798890038
55102,SPI1,VWF,456933.4868373345
15052,GATA1,SLA,456372.63551530684
15073,GATA1,SLC25A44,455628.10570199456
15261,GATA1,TIFAB,455559.4177446017
15882,GATA2,CLCA3A1,455429.95909477223
40429,MYC,RAB38,455160.5139408156
15300,GATA1,TMEM8,454765.9725766605
15399,GATA1,UBIAD1,454349.00094166654
15102,GATA1,SLC43A1,453997.30271820666
38939,MYC,BC005561,453810.7717999806
34892,JUN,NXPE2,453419.89217977267
15373,GATA1,TUBGCP3,453314.989106764
34599,JUN,LGALS9,453007.6417389889
13479,GATA1,AKNA,452887.33708995586
15251,GATA1,TFR2,452674.2456059517
15064,GATA1,SLC19A1,452183.225970647
13459,GATA1,ACSS1,452008.29005141405
39860,MYC,LGALS3BP,451929.4366270232
14276,GATA1,IL18BP,451673.98218942125
34765,JUN,MYL10,451612.29019362706
14152,GATA1,GPSM2,451113.00406803214
18224,GFI1,CMAH,450564.2119793351
14758,GATA1,PLD4,450333.25678754796
10263,ESR1,TNFRSF26,449572.356554815
36732,MEIS1,LY6C2,449459.8398380701
34967,JUN,PDZK1IP1,448702.49926184095
13667,GATA1,CCR7,448563.9264723475
34739,JUN,MS4A6B,448411.86986012623
14591,GATA1,NFAM1,448170.4596181493
16376,GATA2,HBA-A2,448080.89652830426
16596,GATA2,LGALS9,448046.89095386636
14355,GATA1,KLHL4,447380.74662823987
15334,GATA1,TRIB2,447144.7459237642
14364,GATA1,LAG3,446926.1752847772
14291,GATA1,INPP5B,446912.9538455796
8740,ESR1,DEPP1,446465.5769998042
14222,GATA1,HNMT,446271.9324166159
14946,GATA1,RNF128,446109.3841521268
56438,STAT3,MS4A4C,446098.52046544885
14941,GATA1,RNASE6,446023.02790511557
14381,GATA1,LEPROT,445953.5458672904
15693,GATA2,ATP5B,445901.9533053724
15404,GATA1,UBXN2B,445655.1701448586
32235,IRF1,GM12185,445085.4622794722
31200,IKZF1,SP100,444804.99946221383
15190,GATA1,STOM,444773.6614569768
39247,MYC,DAPP1,444725.97503952135
14098,GATA1,GBP7,444564.8977113285
13805,GATA1,CRIP2,444335.17024226784
53026,SPI1,CAVIN2,444327.2743413737
13452,GATA1,ACAA2,444018.0145176124
14100,GATA1,GCDH,443918.31771933875
41031,MYC,UQCR11,443760.7084329769
15287,GATA1,TMEM185A,443306.9154904994
15100,GATA1,SLC40A1,443248.15353851015
15406,GATA1,UGCG,443070.00159352657
34763,JUN,MYCT1,442627.67016436084
35002,JUN,PIRB,442429.5850941633
15994,GATA2,CYP2J9,442314.3652021697
12363,FOS,TMEM273,442114.2686095545
32274,IRF1,GSTT1,441858.31399770756
13436,GATA1,ABCB10,441830.0847025319
27354,HDAC2,SP100,441255.6811128535
9152,ESR1,IIGP1,441224.2152352129
14176,GATA1,H2-OB,440969.65885012737
13883,GATA1,DHX32,440924.43596950866
52769,SPI1,5430427O19RIK,440896.4767420809
40079,MYC,NDUFB9,440860.9897167129
15459,GATA1,WDR7,440326.7713321478
37521,MEIS1,TMEM273,439867.974333656
8611,ESR1,CMAH,439688.3171565095
14957,GATA1,RP2,439425.9267857398
53535,SPI1,GBP8,439048.10091494664
26612,HDAC2,MNDAL,438969.87360483146
15036,GATA1,SGPP1,438432.095420711
14350,GATA1,KLHDC8B,438320.4477119314
36303,MEIS1,DRC7,438289.1158788783
25571,HDAC2,BC035044,438213.0091326067
14127,GATA1,GNB4,438088.9335618981
17557,GATA2,TGTP1,438072.2757934507
15056,GATA1,SLC11A2,437698.40480529936
15476,GATA1,YBX3,437637.10179592675
39168,MYC,COX6A1,436978.4223171296
54033,SPI1,MS4A6B,436971.3968803366
14582,GATA1,NEIL3,436933.1097886828
35292,JUN,SELENOP,436657.08767179726
54059,SPI1,MYL10,436656.9418941959
14008,GATA1,FAM111A,436531.7815382049
14400,GATA1,LRRC14,436523.2054695362
15422,GATA1,USP25,436381.3827043297
30528,IKZF1,MNDAL,436283.7912708389
14872,GATA1,PUSL1,436259.6898780817
13533,GATA1,ARHGAP19,435983.0719594946
15030,GATA1,SFRP1,435713.084612517
14989,GATA1,SAPCD2,435463.9021728653
13780,GATA1,COL5A1,434984.6349279584
54948,SPI1,TNFRSF26,434822.9367133326
38859,MYC,APOE,434713.56485500815
54913,SPI1,TMEM176B,434605.5321390022
10408,ESR1,VWF,434328.7575179276
38994,MYC,CAR2,434138.59916963737
40700,MYC,SMIM1,434031.7827574247
39207,MYC,CTLA2B,434028.3934414199
14412,GATA1,LYRM9,433933.59006778337
34457,JUN,IFI47,433922.5830281508
52814,SPI1,ADGRG1,433783.6865306357
57511,STAT3,WFDC17,433670.17786954227
39950,MYC,METAP2,433388.9513148647
14766,GATA1,PLIN2,433344.7794272425
26239,HDAC2,GUCY1A1,433024.71140428144
56074,STAT3,HBA-A2,432850.7735707348
53570,SPI1,GM973,432491.39645481453
13740,GATA1,CITED4,432265.7829358509
40610,MYC,SH3BGRL,432251.22677754646
35201,JUN,RGS18,432080.01189561235
52770,SPI1,6720489N17RIK,432057.8495926505
55685,STAT3,CYP2J9,431953.8509497974
16293,GATA2,GM4951,431879.953970426
54198,SPI1,OASL2,431680.0860837481
15248,GATA1,TFEC,431374.6261707168
16159,GATA2,F830016B08RIK,431102.023453951
40547,MYC,SAMSN1,430942.9772787385
41151,MYC,ZFP871,430935.16596450884
14749,GATA1,PLA2G12A,430605.67838411167
13662,GATA1,CCNE2,430286.89479457005
17211,GATA2,RIPOR2,429821.38708892715
54521,SPI1,RIPOR2,429713.97776604857
35017,JUN,PLCB2,429500.00479559664
14439,GATA1,MC5R,429484.9132619818
13729,GATA1,CHCHD10,429324.98546291917
13847,GATA1,CYP26B1,429275.5142519877
15364,GATA1,TTLL12,429144.213052509
33702,JUN,ATPIF1,428629.02523756353
39420,MYC,FAM234B,428524.7003093389
13848,GATA1,CYP2J6,428496.6801640006
10554,FOS,ADGRG3,428268.07077911735
40565,MYC,SDHD,428140.06590086076
24927,HCFC1,SMIM1,427770.1186566206
39511,MYC,GBP7,427671.8371906087
24187,HCFC1,LGALS9,427384.86082247744
31015,IKZF1,RPL41,427255.85449568846
14093,GATA1,GBP10,427211.6198004305
15114,GATA1,SLPI,426803.8594984511
15039,GATA1,SH2D4A,426423.1773392127
15017,GATA1,SENP8,426421.19213813194
54057,SPI1,MYCT1,426405.8161548662
13696,GATA1,CDC42EP4,426355.5613904035
15290,GATA1,TMEM209,426128.8117229639
2930,E2F4,IFITM1,425900.5975145468
14974,GATA1,RSAD2,425861.92128967214
24954,HCFC1,SP100,425530.5588766826
15518,GATA1,ZRANB1,424774.22961754707
27146,HDAC2,RPL41,424741.1506780211
15218,GATA1,TAPT1,424637.76689525857
41135,MYC,ZFP422,424053.5834813345
34326,JUN,GPR171,423716.9615597907
13642,GATA1,CASP4,423272.22647987615
15301,GATA1,TMEM97,423230.2990330514
14504,GATA1,MRPL37,423225.0581021983
15728,GATA2,BPIFB5,422990.6763273269
15250,GATA1,TFPI,422865.81611463166
13629,GATA1,CAMSAP2,422860.1781435624
27213,HDAC2,SERPINA3G,422731.2448650201
14359,GATA1,KNSTRN,422543.6973872744
