,cell
203,RamDA_mESC_24h_C09
204,RamDA_mESC_24h_D04
205,RamDA_mESC_24h_H01
206,RamDA_mESC_24h_B11
207,RamDA_mESC_24h_A04
208,RamDA_mESC_24h_G12
209,RamDA_mESC_24h_G03
210,RamDA_mESC_24h_H03
211,RamDA_mESC_24h_E05
212,RamDA_mESC_24h_E12
213,RamDA_mESC_24h_E06
214,RamDA_mESC_24h_F05
215,RamDA_mESC_24h_B03
216,RamDA_mESC_24h_C06
217,RamDA_mESC_24h_G04
218,RamDA_mESC_24h_G02
219,RamDA_mESC_24h_C04
220,RamDA_mESC_24h_D01
221,RamDA_mESC_24h_H12
222,RamDA_mESC_24h_B09
223,RamDA_mESC_24h_F09
224,RamDA_mESC_24h_C07
225,RamDA_mESC_24h_D03
226,RamDA_mESC_24h_D09
227,RamDA_mESC_24h_E11
228,RamDA_mESC_24h_D10
229,RamDA_mESC_24h_B08
230,RamDA_mESC_24h_B06
231,RamDA_mESC_24h_C10
232,RamDA_mESC_24h_C12
233,RamDA_mESC_24h_E10
234,RamDA_mESC_24h_A08
235,RamDA_mESC_24h_C01
236,RamDA_mESC_24h_G11
237,RamDA_mESC_24h_H05
238,RamDA_mESC_24h_C11
239,RamDA_mESC_24h_B01
240,RamDA_mESC_24h_D08
241,RamDA_mESC_24h_F03
242,RamDA_mESC_24h_E02
244,RamDA_mESC_24h_E03
245,RamDA_mESC_24h_G09
246,RamDA_mESC_24h_H09
247,RamDA_mESC_24h_B07
249,RamDA_mESC_24h_C03
250,RamDA_mESC_24h_A12
253,RamDA_mESC_24h_F12
0,RamDA_mESC_48h_C06
178,RamDA_mESC_48h_C05
243,RamDA_mESC_48h_E02
248,RamDA_mESC_48h_B08
251,RamDA_mESC_48h_D12
252,RamDA_mESC_48h_G03
254,RamDA_mESC_48h_C07
255,RamDA_mESC_48h_E08
256,RamDA_mESC_48h_F09
257,RamDA_mESC_48h_C10
258,RamDA_mESC_48h_D11
259,RamDA_mESC_48h_C08
260,RamDA_mESC_48h_C12
261,RamDA_mESC_48h_E05
262,RamDA_mESC_48h_A07
263,RamDA_mESC_48h_H02
264,RamDA_mESC_48h_E10
265,RamDA_mESC_48h_F07
266,RamDA_mESC_48h_H10
267,RamDA_mESC_48h_B11
268,RamDA_mESC_48h_D04
269,RamDA_mESC_48h_E06
270,RamDA_mESC_48h_E07
271,RamDA_mESC_48h_F02
272,RamDA_mESC_48h_G09
273,RamDA_mESC_48h_B07
274,RamDA_mESC_48h_C01
275,RamDA_mESC_48h_F03
276,RamDA_mESC_48h_D05
277,RamDA_mESC_48h_C09
278,RamDA_mESC_48h_G08
279,RamDA_mESC_48h_H05
280,RamDA_mESC_48h_B02
281,RamDA_mESC_48h_G06
282,RamDA_mESC_48h_F08
283,RamDA_mESC_48h_H09
284,RamDA_mESC_48h_F06
285,RamDA_mESC_48h_F11
286,RamDA_mESC_48h_H12
287,RamDA_mESC_48h_H11
288,RamDA_mESC_48h_G04
289,RamDA_mESC_48h_C03
290,RamDA_mESC_48h_F01
291,RamDA_mESC_48h_F05
292,RamDA_mESC_48h_H03
293,RamDA_mESC_48h_B04
294,RamDA_mESC_48h_C02
295,RamDA_mESC_48h_A06
296,RamDA_mESC_48h_F04
297,RamDA_mESC_48h_E12
298,RamDA_mESC_48h_D10
299,RamDA_mESC_48h_D07
300,RamDA_mESC_48h_B10
302,RamDA_mESC_48h_D06
304,RamDA_mESC_48h_H08
305,RamDA_mESC_48h_B05
306,RamDA_mESC_48h_G05
307,RamDA_mESC_48h_G01
308,RamDA_mESC_48h_F12
309,RamDA_mESC_48h_H01
310,RamDA_mESC_48h_H04
311,RamDA_mESC_48h_D08
312,RamDA_mESC_48h_C11
314,RamDA_mESC_48h_A04
315,RamDA_mESC_48h_F10
317,RamDA_mESC_48h_D03
320,RamDA_mESC_48h_G10
321,RamDA_mESC_48h_G12
322,RamDA_mESC_48h_B06
323,RamDA_mESC_48h_B09
324,RamDA_mESC_48h_H07
325,RamDA_mESC_48h_D01
327,RamDA_mESC_48h_E11
329,RamDA_mESC_48h_C04
336,RamDA_mESC_48h_D02
338,RamDA_mESC_48h_A05
341,RamDA_mESC_48h_G11
348,RamDA_mESC_48h_B03
354,RamDA_mESC_48h_H06
357,RamDA_mESC_48h_B01
383,RamDA_mESC_48h_G07
394,RamDA_mESC_48h_A08
301,RamDA_mESC_72h_B10
303,RamDA_mESC_72h_D10
313,RamDA_mESC_72h_E08
316,RamDA_mESC_72h_D08
318,RamDA_mESC_72h_C05
319,RamDA_mESC_72h_B08
326,RamDA_mESC_72h_F06
328,RamDA_mESC_72h_A09
330,RamDA_mESC_72h_E12
331,RamDA_mESC_72h_C09
332,RamDA_mESC_72h_D11
333,RamDA_mESC_72h_C06
334,RamDA_mESC_72h_E05
335,RamDA_mESC_72h_A07
337,RamDA_mESC_72h_F05
339,RamDA_mESC_72h_C10
340,RamDA_mESC_72h_A06
342,RamDA_mESC_72h_B05
343,RamDA_mESC_72h_G12
344,RamDA_mESC_72h_B07
345,RamDA_mESC_72h_C07
346,RamDA_mESC_72h_H10
347,RamDA_mESC_72h_F11
349,RamDA_mESC_72h_F09
350,RamDA_mESC_72h_E10
351,RamDA_mESC_72h_G10
352,RamDA_mESC_72h_G11
353,RamDA_mESC_72h_D01
355,RamDA_mESC_72h_H12
356,RamDA_mESC_72h_D04
358,RamDA_mESC_72h_G09
359,RamDA_mESC_72h_H07
360,RamDA_mESC_72h_H04
361,RamDA_mESC_72h_F07
362,RamDA_mESC_72h_E09
363,RamDA_mESC_72h_G02
364,RamDA_mESC_72h_C12
365,RamDA_mESC_72h_B01
366,RamDA_mESC_72h_D02
367,RamDA_mESC_72h_H05
368,RamDA_mESC_72h_F02
369,RamDA_mESC_72h_E06
370,RamDA_mESC_72h_C02
371,RamDA_mESC_72h_H02
372,RamDA_mESC_72h_G03
373,RamDA_mESC_72h_H03
374,RamDA_mESC_72h_A08
375,RamDA_mESC_72h_H06
376,RamDA_mESC_72h_G07
377,RamDA_mESC_72h_F10
378,RamDA_mESC_72h_B06
379,RamDA_mESC_72h_F04
380,RamDA_mESC_72h_F03
381,RamDA_mESC_72h_A04
382,RamDA_mESC_72h_A05
384,RamDA_mESC_72h_F01
385,RamDA_mESC_72h_H11
386,RamDA_mESC_72h_B03
387,RamDA_mESC_72h_C01
388,RamDA_mESC_72h_D06
389,RamDA_mESC_72h_F12
390,RamDA_mESC_72h_A11
391,RamDA_mESC_72h_D07
392,RamDA_mESC_72h_C04
393,RamDA_mESC_72h_H09
395,RamDA_mESC_72h_G01
396,RamDA_mESC_72h_E07
397,RamDA_mESC_72h_G05
398,RamDA_mESC_72h_D12
399,RamDA_mESC_72h_H01
400,RamDA_mESC_72h_G06
401,RamDA_mESC_72h_B09
402,RamDA_mESC_72h_E02
403,RamDA_mESC_72h_B04
404,RamDA_mESC_72h_E04
405,RamDA_mESC_72h_H08
406,RamDA_mESC_72h_D05
407,RamDA_mESC_72h_E11
408,RamDA_mESC_72h_C03
409,RamDA_mESC_72h_C08
410,RamDA_mESC_72h_E03
411,RamDA_mESC_72h_F08
412,RamDA_mESC_72h_B02
413,RamDA_mESC_72h_D03
414,RamDA_mESC_72h_C11
415,RamDA_mESC_72h_B11
416,RamDA_mESC_72h_G04
417,RamDA_mESC_72h_G08
418,RamDA_mESC_72h_E01
419,RamDA_mESC_72h_D09
420,RamDA_mESC_72h_B12
