Gene1,Gene2
EP300,LAPTM5
EP300,RPL5
EP300,INSIG1
EP300,RIF1
EP300,RABGGTB
EP300,EHD1
EP300,SESN2
EP300,ABHD16A
EP300,RPL3
EP300,ATP11B
EP300,LAMP1
EP300,TSPAN4
EP300,MYO18A
EP300,RFFL
EP300,HSPA4
EP300,SUDS3
EP300,SRI
EP300,SEC61B
EP300,GORASP2
EP300,TBRG1
EP300,UQCRQ
EP300,RAC1
EP300,NAT10
EP300,CAMK2D
EP300,HSPE1
EP300,HSPD1
EP300,WASHC2
EP300,RDM1
EP300,UPP1
EP300,ASXL1
EP300,TRMT2A
EP300,TBC1D17
EP300,P4HA1
EP300,GLS
EP300,PCNA
EP300,SEC22B
EP300,GCLM
EP300,IRF2BPL
EP300,PRKAB1
EP300,KNL1
EP300,XAF1
EP300,PTOV1
EP300,RASSF1
EP300,PARL
EP300,LRRC59
EP300,VPS51
EP300,MT1
EP300,CDS2
EP300,CTSC
EP300,TRP53
EP300,FBXO15
EP300,NAA35
EP300,PTP4A1
EP300,MYMX
EP300,PHC1
EP300,RPN2
EP300,SLC39A13
EP300,SMC2
EP300,AFF1
EP300,B2M
EP300,AARS
EP300,HMGCS1
EP300,ATF4
EP300,HMGA1
EP300,GSR
EP300,EPHA2
EP300,KLF10
EP300,RMC1
EP300,H13
EP300,GNE
EP300,MAPRE2
EP300,AP1AR
EP300,ARHGAP1
EP300,SNX1
EP300,HMGCR
EP300,RANGAP1
EP300,FANCI
EP300,HIKESHI
EP300,MLEC
EP300,HMGA1B
EP300,LMBRD1
EP300,GAA
EP300,MFSD1
EP300,1700019D03RIK
EP300,ARHGEF2
EP300,CNOT8
EP300,SNX10
EP300,P4HB
EP300,MDN1
EP300,TBC1D13
EP300,BRIX1
EP300,TUBB6
EP300,TMED2
EP300,DDOST
EP300,DMTN
EP300,PGAM1
EP300,TXNDC11
EP300,LDLR
EP300,ABHD4
EP300,HIST1H2AC
EP300,ATP6V0D1
EP300,ANP32E
EP300,CACYBP
EP300,SLC16A6
EP300,HSPA8
EP300,CCT7
EP300,MRPL18
EP300,PROS1
EP300,ARPC2
EP300,ILK
EP300,PSAP
EP300,LDB1
EP300,RRN3
EP300,COPG1
EP300,KPNB1
EP300,KMT2C
EP300,ARHGAP45
EP300,CPT1A
EP300,EIF4A2
EP300,STK38
EP300,GNAS
EP300,SLC12A4
EP300,SYVN1
EP300,PRDX1
EP300,BRAF
EP300,OST4
EP300,NKTR
EP300,ALDH18A1
EP300,CALR
EP300,CITED2
EP300,MLLT6
EP300,CLCN6
EP300,SDCBP
EP300,CCND3
EP300,CCNG1
EP300,IFT172
EP300,TCF12
EP300,COPB1
EP300,HSP90AA1
EP300,TMTC4
EP300,GADD45G
EP300,USP22
EP300,SHCBP1
EP300,DDX18
EP300,HSPA5
EP300,ICAM1
EP300,NAGK
EP300,CEBPZ
EP300,H2AFX
EP300,MICU1
EP300,STT3A
EP300,BANP
EP300,GLB1
EP300,KIF2C
EP300,NCLN
EP300,CNPPD1
EP300,PABPC4
EP300,RETREG2
EP300,ARAP1
EP300,HMGN2
EP300,USP3
EP300,MYLPF
EP300,FAM168A
EP300,MEPCE
EP300,AGK
EP300,ELF1
EP300,NOP2
EP300,IMPDH2
EP300,WARS
EP300,DHX32
EP300,BTG2
EP300,DNAJC10
EP300,CST3
EP300,GABARAP
EP300,PIPOX
EP300,FDPS
EP300,SNRPA1
EP300,HDAC5
EP300,MGA
EP300,BRCA2
EP300,STMN1
EP300,SLC39A14
EP300,ATP5G1
EP300,TDGF1
EP300,PSME2
EP300,TET2
EP300,CHST15
EP300,DUSP3
EP300,FIGNL1
EP300,APEX1
EP300,KPNA2
EP300,HSPBP1
EP300,HSP90B1
EP300,PDLIM1
EP300,PDK1
EP300,IDI1
EP300,ADGRE5
EP300,RUVBL2
EP300,4932438A13RIK
EP300,GSE1
EP300,LGALS3
EP300,CHEK1
EP300,GRAMD1A
EP300,C2CD5
EP300,KIF11
EP300,FAM107B
EP300,MFSD11
EP300,RETREG1
EP300,ZBTB10
EP300,ACP6
EP300,PRMT5
EP300,SEC31A
EP300,GABPA
EP300,SEC24B
EP300,PIM1
EP300,MYO1C
EP300,GNPDA1
EP300,BTG1
EP300,CBL
EP300,WDR77
EP300,RASGRP2
EP300,SOCS2
EP300,POU5F1
EP300,HERPUD1
EP300,TMEM59
EP300,MIS18BP1
EP300,KNTC1
EP300,RTN4
EP300,LSS
EP300,PHIP
EP300,PLAT
EP300,MAT2B
EP300,CISD3
EP300,ABTB1
EP300,SP1
EP300,PTPN4
EP300,LMF2
EP300,REEP5
EP300,LSR
EP300,IFRD2
EP300,ECT2
EP300,CALU
EP300,ATM
EP300,GCC2
EP300,MORF4L2
EP300,FKBP1A
EP300,PANX1
EP300,MIF
EP300,DNAJB11
EP300,MCM3
EP300,LAMC1
EP300,TUBA1B
EP300,PKM
EP300,HYOU1
EP300,TCF4
EP300,SLC25A39
EP300,MCOLN1
EP300,CCDC9
EP300,S100A6
EP300,DLGAP4
EP300,ING3
EP300,G3BP2
EP300,TIMELESS
EP300,URI1
EP300,COMMD3
EP300,HEATR1
EP300,PLEKHF2
EP300,CYSTM1
EP300,MT2
EP300,FZR1
EP300,VMP1
EP300,RPL27A
EP300,EXOSC3
EP300,PDXDC1
EP300,DDX21
EP300,CEP85
EP300,TPM1
EP300,SAP30
EP300,COX7C
EP300,NUP93
EP300,NFYA
EP300,GDAP2
EP300,HDLBP
EP300,SERBP1
EP300,TRAM1
EP300,SPATA5
EP300,PSMB3
EP300,SRSF3
EP300,SEC11A
EP300,SLC25A1
EP300,AGPAT4
EP300,POFUT2
EP300,MSMO1
EP300,BSG
EP300,ARHGAP17
EP300,PAFAH1B3
EP300,SELENOI
EP300,NDRG1
EP300,NCSTN
EP300,COPA
EP300,MRPS18B
EP300,KLF2
EP300,SREBF1
EP300,KDM5B
EP300,PVR
EP300,SQLE
EP300,RRP9
EP300,HSPH1
EP300,POLR1B
EP300,RPA2
EP300,DCTPP1
EP300,SELENOS
EP300,H2AFZ
EP300,TNKS
EP300,NANOG
EP300,KCTD9
EP300,INSIG2
EP300,CDCA2
EP300,RAB11A
EP300,TMED9
EP300,PDIA3
EP300,REXO5
EP300,FBXO22
EP300,COLGALT1
EP300,PPP2R3D
EP300,ARFGAP1
EP300,SNX27
EP300,UBE2S
EP300,FABP3
EP300,PPIB
EP300,DTL
EP300,MDM2
EP300,RAPH1
EP300,ZFC3H1
EP300,SLC25A36
EP300,RTEL1
EP300,UCHL1
EP300,POLE4
EP300,ASF1B
EP300,RAD54B
EP300,DDX27
EP300,NPM1
EP300,BUB1B
EP300,SUN2
EP300,SENP3
EP300,NPC1
EP300,SPINT1
EP300,ADAM19
EP300,PHF20
EP300,SND1
EP300,LMNB1
EP300,HIST1H2BK
EP300,ANXA2
EP300,ALG9
EP300,FBXO5
EP300,GRK6
EP300,SAR1A
EP300,TUBB4B
EP300,AKR1B3
EP300,BC017158
EP300,SERPINB6A
EP300,CIAPIN1
EP300,BCL2L11
EP300,RRAGC
EP300,PLOD3
EP300,PRR13
EP300,PSD4
EP300,MCM7
EP300,AP4M1
EP300,STARD4
EP300,TFEB
EP300,ETV1
EP300,FBLIM1
EP300,CTSA
EP300,NFXL1
EP300,USP9X
EP300,PPP3CB
EP300,TMEM97
EP300,TWF1
EP300,SERP1
EP300,KLF6
EP300,CDC20
EP300,B230307C23RIK
EP300,LZIC
EP300,ABCG2
EP300,DEK
EP300,GOT1
EP300,METTL17
EP300,ARPC5
EP300,PLA2G6
EP300,H2AFV
EP300,SNX5
EP300,CAPZB
EP300,TFG
EP300,INTS13
EP300,SWT1
EP300,WDR75
EP300,F3
EP300,SRRT
EP300,TRIM6
EP300,USF1
EP300,STX5A
EP300,PNP
EP300,CC2D1B
EP300,DEGS1
EP300,SHMT1
EP300,G6PC3
EP300,ANXA5
EP300,ATP6V0E
EP300,SLC7A5
EP300,MKRN1
EP300,CDCA7
EP300,MPHOSPH8
EP300,GTF2I
EP300,RARG
EP300,RAI14
EP300,CR1L
EP300,SEC62
EP300,FBRSL1
EP300,POLD2
EP300,ZFP710
EP300,RTN3
EP300,HEXB
EP300,SPCS2
EP300,PA2G4
EP300,NUCKS1
EP300,WDFY1
EP300,STAG3
EP300,SLC25A4
EP300,EIF4EBP1
EP300,SMAD7
EP300,HIST1H2BR
EP300,HIST1H2BN
EP300,HIST1H2AK
EP300,NFU1
EP300,CIZ1
EP300,SYNJ1
EP300,SSR4
EP300,PTMA
EP300,HIST1H2BL
EP300,HIST1H2AI
EP300,TDH
EP300,AHSA1
EP300,FAHD2A
EP300,RESF1
EP300,SUZ12
EP300,ERCC5
EP300,PPP2R5A
EP300,TMSB4X
EP300,FAM234A
EP300,ITGB1
EP300,CDKN1A
EP300,VAMP8
EP300,RBBP7
EP300,CDC16
EP300,ASPSCR1
EP300,USP28
EP300,GLUL
EP300,DAP
EP300,MCM6
EP300,SIRT1
EP300,ASPH
EP300,TAGLN2
EP300,ZFP367
EP300,CARS
EP300,CHCHD7
EP300,ERP44
EP300,TRIM2
EP300,SLC6A6
EP300,DENND2C
EP300,DHPS
EP300,MRPL42
EP300,MAP3K1
EP300,CYBA
EP300,ZBTB44
EP300,SOD1
EP300,F2R
EP300,PPID
EP300,AKT1
EP300,ZFP568
EP300,MYBBP1A
EP300,CREB3
EP300,DHCR7
EP300,LRRC8D
EP300,ATP6V0B
EP300,PPM1G
EP300,SEPT1
EP300,MRPS10
EP300,TERF1
EP300,NCL
EP300,MIA3
EP300,CHST12
EP300,PIEZO1
EP300,TLN1
EP300,MROH1
EP300,FUBP1
EP300,SETD7
EP300,LYAR
EP300,RLIM
EP300,KAT6B
EP300,TXNDC12
EP300,MYDGF
EP300,CDC42SE2
EP300,GSN
EP300,VEGFA
EP300,DBR1
EP300,LEFTY1
EP300,TRIM59
EP300,BRCA1
EP300,VCP
EP300,COX7A1
EP300,SAT1
EP300,BCAM
EP300,ATP13A3
EP300,SMS
EP300,SAMD4B
EP300,BCL3
EP300,ZWILCH
EP300,SLC35F5
EP300,KLF3
EP300,FNIP2
EP300,SEC24A
EP300,PREB
EP300,TMOD3
EP300,TPX2
EP300,OSTC
EP300,ARAP2
EP300,SPRY4
EP300,MGST3
EP300,HIST1H2AG
EP300,ELOVL6
EP300,EXOC4
EP300,PARK7
EP300,ZFP532
EP300,PFAS
EP300,NCAPD2
EP300,UBC
EP300,SET
EP300,EBNA1BP2
EP300,SINHCAF
EP300,PARP1
EP300,SLC7A6
EP300,PTTG1IP
EP300,CD151
EP300,EIF2S2
EP300,ACTL6A
EP300,DSTN
EP300,GLUD1
EP300,LANCL1
EP300,NOTCH1
EP300,SPC25
EP300,ERP29
EP300,ELF2
EP300,SFRP1
EP300,STARD3NL
EP300,BOP1
EP300,EXOSC2
EP300,ADSL
EP300,UHRF2
EP300,AHCY
EP300,SGK1
EP300,AMOTL2
EP300,KRTCAP2
EP300,FLNB
EP300,CTNNBL1
EP300,PSMG4
EP300,EZH2
EP300,ZFP141
EP300,ASNS
EP300,CTNS
EP300,PRPS1
EP300,ITM2B
EP300,APPL2
EP300,CTSD
EP300,REV1
EP300,NEU1
EP300,CD63
EP300,LDHB
EP300,NCOR1
EP300,FRRS1
EP300,BCAS3
EP300,TPD52
EP300,SLC38A2
EP300,MOV10
EP300,LRPAP1
EP300,TMEM214
EP300,OAT
EP300,SEPT9
EP300,SLC19A2
EP300,R3HDM2
EP300,MCM2
EP300,MSI2
EP300,RRP1B
EP300,TUBB2B
EP300,MAPK3
EP300,PDIA4
EP300,RPL12
EP300,GART
EP300,SARNP
EP300,FAM169A
EP300,PLK2
EP300,NUSAP1
EP300,PPT2
EP300,MYL4
EP300,MYCN
EP300,GNS
EP300,TTLL4
EP300,MANF
EP300,NASP
EP300,GLO1
EP300,APPBP2
EP300,KPNA4
EP300,CLPB
EP300,OPLAH
EP300,LIMA1
EP300,TMEM128
EP300,PHF21A
EP300,TSEN2
EP300,CSTB
EP300,MPV17
EP300,ASH2L
EP300,MTHFD2
EP300,SLC25A5
EP300,FRMD4A
EP300,KDELR1
EP300,FOXO3
EP300,ERF
EP300,AAK1
EP300,YIPF3
EP300,RUSC2
EP300,PYCARD
EP300,GMNN
EP300,ARF1
EP300,ETNK1
EP300,HELLS
EP300,PWWP2B
EP300,LRRC8C
EP300,UHRF1
EP300,RFC5
EP300,CTSL
EP300,SLC20A1
EP300,D230025D16RIK
EP300,FAM83D
EP300,MARCH8
EP300,NOTCH4
EP300,SLC1A5
EP300,PPP1R21
EP300,GSTA4
EP300,BNIP3
EP300,LASP1
EP300,IFITM2
EP300,TUBB2A
EP300,RPN1
EP300,NEK2
EP300,GDI1
EP300,PFKL
EP300,SLC44A1
EP300,PALLD
EP300,GFPT1
EP300,MYBL2
EP300,NAP1L1
EP300,KEAP1
EP300,SEL1L
EP300,DPY30
EP300,GMPPA
EP300,ZFP961
EP300,ETS1
EP300,PIGK
EP300,TIMP1
EP300,SLC7A3
EP300,MAPKAPK3
EP300,GNPTAB
EP300,BCLAF3
EP300,NCOA3
EP300,EPS8
EP300,HIST1H2BF
EP300,TAX1BP3
EP300,STXBP2
EP300,TRIM28
EP300,TIMM23
EP300,LAMC2
EP300,CHIC2
EP300,MYL6
EP300,FNDC3B
EP300,SRGAP2
EP300,PLEKHA1
EP300,LRRC2
EP300,USP10
EP300,FRS2
EP300,GALK1
EP300,RMND5B
EP300,PIK3R1
EP300,NPTN
EP300,WDR1
EP300,CDC42SE1
EP300,CMTM7
EP300,LY75
EP300,AMT
EP300,NR5A2
EP300,SPRY2
EP300,COQ8A
EP300,PGA5
EP300,GJB3
EP300,DNMT3A
EP300,NT5C
EP300,MSH2
EP300,CPEB2
EP300,ASPM
EP300,B4GALT1
EP300,HIRIP3
EP300,FKBP5
EP300,SLC39A7
EP300,AP2A2
EP300,ISYNA1
EP300,XPNPEP1
EP300,PTBP3
EP300,MUS81
EP300,LRRC1
EP300,SPRYD3
EP300,GABARAPL1
EP300,JARID2
EP300,FBXW9
EP300,LITAF
EP300,RAN
EP300,MAPKAPK2
EP300,AGTRAP
EP300,LGR4
EP300,PCOLCE
EP300,MYH9
EP300,NID2
EP300,FOXH1
EP300,PTPN6
EP300,GLIPR2
EP300,ABHD5
EP300,ARHGAP32
EP300,MCM10
EP300,PML
EP300,ZFP42
EP300,ETV5
EP300,FTSJ3
EP300,HMCES
EP300,NLGN2
EP300,CERS6
EP300,PSMD14
EP300,POP1
EP300,NRF1
EP300,RBM47
EP300,MME
EP300,SLC25A12
EP300,ZBTB38
EP300,CLN6
EP300,MCFD2
EP300,AMPD2
EP300,TMEM256
EP300,ANXA4
EP300,RPA1
EP300,QDPR
EP300,EZR
EP300,GNG5
EP300,SNX8
EP300,IER3IP1
EP300,HIST1H1D
EP300,RNASEH2A
EP300,ITGA9
EP300,RRM2
EP300,CTSZ
EP300,TRAIP
EP300,TTC7
EP300,GGCX
EP300,PDCD6IP
EP300,ZMYM1
EP300,NELFCD
EP300,GABBR1
EP300,SDF2L1
EP300,SLC25A40
EP300,DBF4
EP300,ACAT1
EP300,RHPN2
EP300,ECH1
EP300,ENAH
EP300,TMEM165
EP300,ORC2
EP300,IKBIP
EP300,APAF1
EP300,SLC30A7
EP300,CCN2
EP300,FNDC3A
EP300,TRIM24
EP300,MFSD10
EP300,LATS2
EP300,SNAI1
EP300,PITPNC1
EP300,DKC1
EP300,HK2
EP300,SRPRB
EP300,HIP1
EP300,PARVB
EP300,SLC16A1
EP300,TCEA3
EP300,5031439G07RIK
EP300,CAT
EP300,IGF2R
EP300,KIF22
EP300,ESCO2
EP300,CHAF1B
EP300,TUBA4A
EP300,NEDD4
EP300,LPCAT3
EP300,SMARCAD1
EP300,SEMA4C
EP300,TEX264
EP300,SPNS2
EP300,IFITM1
EP300,ECPAS
EP300,CBFA2T2
EP300,CPNE1
EP300,PCYT1B
EP300,KCTD10
EP300,CMIP
EP300,VSIR
EP300,LY6E
EP300,TANGO2
EP300,SERPING1
EP300,HIST1H3H
EP300,MOB3B
EP300,RBMS1
EP300,CTSB
EP300,WAPL
EP300,CIP2A
EP300,NUP210
EP300,ZFP644
EP300,SUCLG2
EP300,ASS1
EP300,LY6G6E
EP300,ARFGEF1
EP300,HSPB1
EP300,HEMK1
EP300,CCNB2
EP300,SPATA13
EP300,APOE
EP300,MDK
EP300,XBP1
EP300,MTUS1
EP300,GABARAPL2
EP300,ALDH9A1
EP300,ABCC5
EP300,MPZL2
EP300,CTNNAL1
EP300,HIST1H3G
EP300,ACADM
EP300,ADGRA2
EP300,WDR45
EP300,EXT2
EP300,MPZL1
EP300,ULK1
EP300,BCAR3
EP300,UBTF
EP300,B3GNT5
EP300,IL33
EP300,SPTSSA
EP300,ALDOC
EP300,RBPMS2
EP300,PTPN3
EP300,PHLDA3
EP300,TRAF4
EP300,TSPAN9
EP300,TM7SF3
EP300,ETV4
EP300,ITGAV
EP300,PYCR2
EP300,RPL14
EP300,BUB1
EP300,MAGI1
EP300,RYBP
EP300,GJA1
EP300,PIR
EP300,SDC4
EP300,PLAUR
EP300,CALD1
EP300,LYN
EP300,ARHGAP28
EP300,PHLDB2
